id,price,quantity,direction,delivery_day,delivery_hour,trader_id,execution_time
t_54,29,18,buy,2024-02-01,5,trader_2,2024-02-01T05:00:00Z
t_55,58,27,sell,2024-02-01,6,trader_1,2024-02-01T06:00:00Z
t_56,54,60,sell,2024-02-01,7,trader_2,2024-02-01T07:00:00Z
t_57,136,62,buy,2024-02-01,8,trader_1,2024-02-01T08:00:00Z
t_58,88,57,sell,2024-02-01,9,trader_2,2024-02-01T09:00:00Z
t_59,37,64,buy,2024-02-01,10,trader_1,2024-02-01T10:00:00Z
t_60,136,14,buy,2024-02-01,11,trader_1,2024-02-01T11:00:00Z
t_61,21,10,sell,2024-02-01,12,trader_2,2024-02-01T12:00:00Z
t_62,56,42,sell,2024-02-01,13,trader_1,2024-02-01T13:00:00Z
t_63,96,48,sell,2024-02-01,14,trader_1,2024-02-01T14:00:00Z
t_64,48,6,sell,2024-02-01,15,trader_2,2024-02-01T15:00:00Z
t_65,100,1,buy,2024-02-01,16,trader_1,2024-02-01T16:00:00Z
t_66,96,2,sell,2024-02-01,17,trader_1,2024-02-01T17:00:00Z
t_67,83,3,sell,2024-02-01,18,trader_1,2024-02-01T18:00:00Z
t_68,74,77,sell,2024-02-01,19,trader_1,2024-02-01T19:00:00Z
t_69,128,21,sell,2024-02-01,20,trader_2,2024-02-01T20:00:00Z
t_70,133,94,buy,2024-02-01,21,trader_1,2024-02-01T21:00:00Z
t_71,68,73,buy,2024-02-01,22,trader_2,2024-02-01T22:00:00Z
t_72,24,65,buy,2024-02-01,23,trader_1,2024-02-01T23:00:00Z
t_73,83,55,buy,2024-02-01,0,trader_1,2024-02-01T00:00:00Z
t_74,79,6,buy,2024-02-01,1,trader_1,2024-02-01T01:00:00Z
t_75,56,57,buy,2024-02-01,2,trader_1,2024-02-01T02:00:00Z
t_76,82,61,buy,2024-02-01,3,trader_2,2024-02-01T03:00:00Z
t_77,143,21,sell,2024-02-01,4,trader_2,2024-02-01T04:00:00Z
t_78,138,13,sell,2024-02-01,5,trader_2,2024-02-01T05:00:00Z
t_79,37,1,sell,2024-02-01,6,trader_2,2024-02-01T06:00:00Z
t_80,53,40,buy,2024-02-01,7,trader_2,2024-02-01T07:00:00Z
t_81,54,16,buy,2024-02-01,8,trader_2,2024-02-01T08:00:00Z
t_82,150,92,sell,2024-02-01,9,trader_1,2024-02-01T09:00:00Z
t_83,143,93,buy,2024-02-01,10,trader_2,2024-02-01T10:00:00Z
t_84,72,41,sell,2024-02-01,11,trader_1,2024-02-01T11:00:00Z
t_85,107,52,buy,2024-02-01,12,trader_1,2024-02-01T12:00:00Z
t_86,131,91,buy,2024-02-01,13,trader_1,2024-02-01T13:00:00Z
t_87,88,57,buy,2024-02-01,14,trader_2,2024-02-01T14:00:00Z
t_88,70,21,buy,2024-02-01,15,trader_1,2024-02-01T15:00:00Z
t_89,110,36,sell,2024-02-01,16,trader_2,2024-02-01T16:00:00Z
t_90,62,44,sell,2024-02-01,17,trader_1,2024-02-01T17:00:00Z
t_91,85,10,sell,2024-02-01,18,trader_1,2024-02-01T18:00:00Z
t_92,52,31,buy,2024-02-01,19,trader_1,2024-02-01T19:00:00Z
t_93,63,72,sell,2024-02-01,20,trader_2,2024-02-01T20:00:00Z
t_94,62,55,sell,2024-02-01,21,trader_1,2024-02-01T21:00:00Z
t_95,143,48,sell,2024-02-01,22,trader_1,2024-02-01T22:00:00Z
t_96,55,96,sell,2024-02-01,23,trader_1,2024-02-01T23:00:00Z
t_97,131,68,buy,2024-02-01,0,trader_2,2024-02-01T00:00:00Z
t_98,149,42,sell,2024-02-01,1,trader_1,2024-02-01T01:00:00Z
t_99,121,18,buy,2024-02-01,2,trader_1,2024-02-01T02:00:00Z
t_100,63,80,sell,2024-02-01,3,trader_2,2024-02-01T03:00:00Z
