id,price,quantity,direction,delivery_day,delivery_hour,trader_id,execution_time
t_125,90,59,sell,2024-02-02,0,trader_1,2024-02-02T00:00:00Z
t_126,40,41,sell,2024-02-02,1,trader_2,2024-02-02T01:00:00Z
t_127,76,22,sell,2024-02-02,2,trader_1,2024-02-02T02:00:00Z
t_128,71,27,buy,2024-02-02,3,trader_1,2024-02-02T03:00:00Z
t_129,128,1,sell,2024-02-02,4,trader_2,2024-02-02T04:00:00Z
t_130,98,91,sell,2024-02-02,5,trader_1,2024-02-02T05:00:00Z
t_131,65,60,sell,2024-02-02,6,trader_2,2024-02-02T06:00:00Z
t_132,70,73,sell,2024-02-02,7,trader_1,2024-02-02T07:00:00Z
t_133,142,52,buy,2024-02-02,8,trader_2,2024-02-02T08:00:00Z
t_134,147,69,buy,2024-02-02,9,trader_1,2024-02-02T09:00:00Z
t_135,107,38,sell,2024-02-02,10,trader_1,2024-02-02T10:00:00Z
t_136,82,8,buy,2024-02-02,11,trader_2,2024-02-02T11:00:00Z
t_137,150,89,sell,2024-02-02,12,trader_2,2024-02-02T12:00:00Z
t_138,57,42,buy,2024-02-02,13,trader_1,2024-02-02T13:00:00Z
t_139,34,74,sell,2024-02-02,14,trader_1,2024-02-02T14:00:00Z
t_140,120,39,buy,2024-02-02,15,trader_1,2024-02-02T15:00:00Z
t_141,143,3,sell,2024-02-02,16,trader_1,2024-02-02T16:00:00Z
t_142,144,100,sell,2024-02-02,17,trader_1,2024-02-02T17:00:00Z
t_143,22,89,sell,2024-02-02,18,trader_1,2024-02-02T18:00:00Z
t_144,101,45,sell,2024-02-02,19,trader_1,2024-02-02T19:00:00Z
t_145,102,95,buy,2024-02-02,20,trader_2,2024-02-02T20:00:00Z
t_146,110,84,buy,2024-02-02,21,trader_1,2024-02-02T21:00:00Z
t_147,45,55,sell,2024-02-02,22,trader_1,2024-02-02T22:00:00Z
t_148,50,71,sell,2024-02-02,23,trader_2,2024-02-02T23:00:00Z
t_149,77,89,sell,2024-02-02,0,trader_2,2024-02-02T00:00:00Z
t_150,42,10,buy,2024-02-02,1,trader_1,2024-02-02T01:00:00Z
t_151,136,78,buy,2024-02-02,2,trader_1,2024-02-02T02:00:00Z
t_152,105,77,sell,2024-02-02,3,trader_1,2024-02-02T03:00:00Z
t_153,85,89,buy,2024-02-02,4,trader_2,2024-02-02T04:00:00Z
t_154,74,64,sell,2024-02-02,5,trader_2,2024-02-02T05:00:00Z
t_155,98,98,buy,2024-02-02,6,trader_2,2024-02-02T06:00:00Z
t_156,60,57,sell,2024-02-02,7,trader_1,2024-02-02T07:00:00Z
t_157,79,92,sell,2024-02-02,8,trader_2,2024-02-02T08:00:00Z
t_158,110,4,buy,2024-02-02,9,trader_2,2024-02-02T09:00:00Z
t_159,63,78,buy,2024-02-02,10,trader_1,2024-02-02T10:00:00Z
t_160,121,27,buy,2024-02-02,11,trader_1,2024-02-02T11:00:00Z
t_161,127,89,buy,2024-02-02,12,trader_2,2024-02-02T12:00:00Z
t_162,136,61,buy,2024-02-02,13,trader_2,2024-02-02T13:00:00Z
t_163,145,9,sell,2024-02-02,14,trader_1,2024-02-02T14:00:00Z
t_164,67,4,sell,2024-02-02,15,trader_1,2024-02-02T15:00:00Z
t_165,122,80,sell,2024-02-02,16,trader_1,2024-02-02T16:00:00Z
t_166,134,67,buy,2024-02-02,17,trader_1,2024-02-02T17:00:00Z
t_167,97,69,buy,2024-02-02,18,trader_1,2024-02-02T18:00:00Z
t_168,106,28,buy,2024-02-02,19,trader_1,2024-02-02T19:00:00Z
t_169,112,39,buy,2024-02-02,20,trader_1,2024-02-02T20:00:00Z
t_170,150,18,sell,2024-02-02,21,trader_1,2024-02-02T21:00:00Z
t_171,60,15,sell,2024-02-02,22,trader_2,2024-02-02T22:00:00Z
t_172,38,27,buy,2024-02-02,23,trader_2,2024-02-02T23:00:00Z
t_173,60,61,buy,2024-02-02,0,trader_1,2024-02-02T00:00:00Z
t_174,77,6,sell,2024-02-02,1,trader_1,2024-02-02T01:00:00Z
t_175,129,54,sell,2024-02-02,2,trader_2,2024-02-02T02:00:00Z
t_176,135,51,sell,2024-02-02,3,trader_2,2024-02-02T03:00:00Z
t_177,81,12,buy,2024-02-02,4,trader_1,2024-02-02T04:00:00Z
t_178,130,19,buy,2024-02-02,5,trader_2,2024-02-02T05:00:00Z
t_179,90,47,buy,2024-02-02,6,trader_1,2024-02-02T06:00:00Z
t_180,126,27,buy,2024-02-02,7,trader_1,2024-02-02T07:00:00Z
t_181,54,43,buy,2024-02-02,8,trader_1,2024-02-02T08:00:00Z
t_182,49,27,buy,2024-02-02,9,trader_2,2024-02-02T09:00:00Z
t_183,143,38,sell,2024-02-02,10,trader_1,2024-02-02T10:00:00Z
t_184,149,23,buy,2024-02-02,11,trader_2,2024-02-02T11:00:00Z
t_185,101,69,buy,2024-02-02,12,trader_1,2024-02-02T12:00:00Z
t_186,28,31,buy,2024-02-02,13,trader_1,2024-02-02T13:00:00Z
t_187,122,65,sell,2024-02-02,14,trader_1,2024-02-02T14:00:00Z
t_188,107,60,buy,2024-02-02,15,trader_1,2024-02-02T15:00:00Z
t_189,36,41,buy,2024-02-02,16,trader_1,2024-02-02T16:00:00Z
t_190,109,16,buy,2024-02-02,17,trader_2,2024-02-02T17:00:00Z
t_191,90,22,sell,2024-02-02,18,trader_2,2024-02-02T18:00:00Z
t_192,74,88,sell,2024-02-02,19,trader_1,2024-02-02T19:00:00Z
t_193,148,54,buy,2024-02-02,20,trader_2,2024-02-02T20:00:00Z
t_194,67,95,buy,2024-02-02,21,trader_1,2024-02-02T21:00:00Z
t_195,116,24,buy,2024-02-02,22,trader_1,2024-02-02T22:00:00Z
t_196,29,7,sell,2024-02-02,23,trader_2,2024-02-02T23:00:00Z
t_197,24,24,sell,2024-02-02,0,trader_1,2024-02-02T00:00:00Z
t_198,102,87,buy,2024-02-02,1,trader_2,2024-02-02T01:00:00Z
t_199,112,70,buy,2024-02-02,2,trader_2,2024-02-02T02:00:00Z
t_200,75,31,buy,2024-02-02,3,trader_1,2024-02-02T03:00:00Z
